ph,temperature,humidity,flow,turbidity,tds,biofilm_risk_percent,biofilm_formation_label
7.0,25.29,60.55,51.44,477.64,142.24,59.41,MEDIUM
7.05,24.95,61.41,53.15,443.59,186.63,57.78,MEDIUM
7.02,25.14,60.79,51.56,395.13,117.26,58.12,MEDIUM
7.06,25.0,60.29,51.39,433.48,169.94,58.26,MEDIUM
7.06,24.84,60.96,50.76,400.65,117.54,57.91,MEDIUM
7.11,24.44,60.76,51.48,353.68,159.05,56.44,MEDIUM
7.07,24.43,60.22,52.85,374.43,174.73,56.45,MEDIUM
7.11,24.22,60.8,54.56,424.19,182.49,56.05,MEDIUM
7.1,24.11,60.89,52.56,470.81,180.14,57.3,MEDIUM
7.08,23.64,60.92,50.74,488.46,174.81,57.96,MEDIUM
7.03,23.4,61.34,50.95,466.25,202.51,57.79,MEDIUM
7.08,22.95,62.17,49.49,444.69,176.33,57.38,MEDIUM
7.06,22.97,61.82,50.37,465.9,215.03,57.47,MEDIUM
7.05,22.76,62.12,50.25,458.61,148.97,57.31,MEDIUM
7.08,22.52,62.79,50.67,504.82,212.48,57.37,MEDIUM
7.12,23.0,61.88,51.82,523.64,202.62,57.22,MEDIUM
7.15,22.97,61.3,52.75,547.51,221.72,57.0,MEDIUM
7.19,23.35,62.28,53.32,573.33,264.61,57.09,MEDIUM
7.14,22.99,61.45,54.61,537.07,216.25,56.27,MEDIUM
7.13,23.21,61.5,53.7,537.86,221.45,56.89,MEDIUM
7.12,23.63,60.76,52.94,530.56,194.98,57.45,MEDIUM
7.07,23.61,61.12,53.19,562.74,233.87,58.09,MEDIUM
7.09,23.45,61.64,53.72,540.5,224.58,57.37,MEDIUM
7.14,23.63,61.63,52.46,507.44,175.46,57.19,MEDIUM
7.1,23.5,62.41,52.44,912.46,328.16,62.46,HIGH
7.14,23.84,63.3,52.16,892.8,349.83,62.21,HIGH
7.14,23.44,63.4,53.27,914.42,410.0,61.79,HIGH
7.09,23.43,63.79,52.0,894.97,309.7,62.36,HIGH
7.06,23.67,63.14,50.49,901.6,369.84,63.36,HIGH
7.08,24.02,63.66,50.75,928.39,370.58,63.77,HIGH
7.12,24.11,63.39,52.7,942.01,370.61,63.02,HIGH
7.1,24.23,62.41,53.97,930.83,411.71,62.69,HIGH
7.12,24.44,62.07,55.94,947.37,352.47,62.17,HIGH
7.11,24.47,61.8,57.8,987.43,431.94,62.13,HIGH
7.11,24.07,62.7,59.46,978.05,366.26,61.18,HIGH
7.06,24.49,63.05,58.13,1011.3,437.51,62.72,HIGH
7.02,24.1,63.61,59.46,1008.29,369.08,62.19,HIGH
6.99,24.24,63.82,60.7,1045.46,429.28,62.43,HIGH
6.94,23.92,62.97,59.62,1043.59,413.09,62.17,HIGH
6.95,23.9,62.82,59.04,1006.82,382.61,62.01,HIGH
6.99,23.69,63.29,60.97,1052.02,431.64,62.03,HIGH
6.96,23.39,63.58,59.69,1037.29,429.81,61.84,HIGH
6.99,22.99,63.29,58.82,1069.11,420.62,62.47,HIGH
6.99,22.89,63.69,59.88,1049.63,393.59,61.73,HIGH
6.96,23.06,62.83,59.51,1061.18,419.43,61.97,HIGH
6.95,22.95,62.48,58.66,1013.78,430.49,61.51,HIGH
6.99,22.73,61.51,57.27,1048.39,417.65,62.55,HIGH
7.02,23.06,61.96,57.98,1017.72,400.19,62.08,HIGH
7.06,23.51,61.8,59.58,980.11,427.05,61.08,HIGH
7.06,23.62,61.72,59.7,990.31,374.48,61.23,HIGH
7.07,23.79,60.86,58.83,973.85,418.89,61.42,HIGH
7.08,23.54,61.77,59.01,985.85,409.37,61.25,HIGH
7.04,23.8,61.1,58.15,1021.44,428.62,62.47,HIGH
7.04,23.79,62.09,58.23,1053.48,451.05,62.87,HIGH
7.04,24.21,63.06,58.81,1030.27,388.0,62.69,HIGH
7.03,23.88,62.92,56.85,989.52,387.56,62.62,HIGH
7.08,23.42,62.21,57.64,965.92,400.8,61.4,HIGH
7.06,23.56,61.98,58.7,926.13,365.08,60.76,HIGH
7.04,23.98,62.23,56.86,891.88,325.84,61.45,HIGH
7.03,23.49,62.67,55.94,868.0,393.58,61.15,HIGH
7.02,23.23,61.84,55.82,861.59,391.49,61.0,HIGH
7.04,23.54,61.65,57.21,898.13,399.71,61.08,HIGH
7.01,23.26,61.53,58.03,947.62,329.48,61.43,HIGH
6.98,23.33,61.58,57.92,1320.5,509.47,66.08,HIGH
